stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
22037,55AC2,Alouettes,,50.270887,3.208344,0,11018,0
10633,10AA,Le Cattelet,,50.414364,3.204485,1,,0
21254,10AA1,Le Cattelet,,50.414364,3.204485,0,10633,0
10634,10AB,Eglise du Cattelet,,50.418623,3.200309,1,,0
21255,10AB1,Eglise du Cattelet,,50.418429,3.200878,0,10634,0
10635,10AC,Brossolette - FLINES LES RACHES,,50.420892,3.193539,1,,0
21257,10AC1,Brossolette - FLINES LES RACHES,,50.420945,3.193848,0,10635,0
10636,10AD,Chanteclerc,,50.421043,3.188614,1,,0
21259,10AD1,Chanteclerc,,50.420845,3.188761,0,10636,0
10835,10AJ,Dulieu,,50.423000,3.182692,1,,0
21664,10AJ1,Dulieu,,50.423027,3.182783,0,10835,0
10639,10AG,Péri,,50.421715,3.180530,1,,0
21265,10AG1,Péri,,50.421576,3.180361,0,10639,0
10640,10AH,Montreuil,,50.418507,3.171070,1,,0
21267,10AH1,Montreuil,,50.418540,3.171035,0,10640,0
22108,35AD3,Route de Flines,,50.412370,3.156074,0,10644,0
10645,21AA,Rue de Baillon,,50.416398,3.142339,1,,0
21277,21AA1,Rue de Baillon,,50.416437,3.142141,0,10645,0
10646,21AB,Rue Neuve - RÂCHES,,50.416335,3.137217,1,,0
21279,21AB1,Rue Neuve - RÂCHES,,50.416344,3.137210,0,10646,0
10647,21AC,Mairie - RACHES,,50.414417,3.135873,1,,0
21281,21AC1,Mairie - RACHES,,50.414218,3.135729,0,10647,0
10648,21AD,Le Pont,,50.411667,3.134142,1,,0
21283,21AD1,Le Pont,,50.411868,3.134261,0,10648,0
10649,01CF,Arkéos - Orionis,,50.407395,3.127612,1,,0
21285,01CF1,Arkéos - Orionis,,50.407377,3.127535,0,10649,0
10650,01CG,Eglise - DOUAI,,50.404940,3.124065,1,,0
21287,01CG1,Eglise - DOUAI,,50.404951,3.123974,0,10650,0
10651,01CH,Transformateur - DOUAI,,50.402330,3.120489,1,,0
21289,01CH1,Transformateur - DOUAI,,50.402379,3.120460,0,10651,0
10652,01CI,Lespagnol,,50.393433,3.112036,1,,0
21291,01CI1,Lespagnol,,50.393516,3.111959,0,10652,0
10450,05AE,Langevin - WAZIERS,,50.387699,3.102194,1,,0
20895,05AE1,Langevin - WAZIERS,,50.387700,3.102189,0,10450,0
10380,01AS,Gayant Expo,,50.379661,3.092061,1,,0
20755,01AS1,Gayant Expo,,50.380204,3.093003,0,10380,0
20756,01AS2,Gayant Expo,,50.379118,3.091119,0,10380,0
20896,05AE2,Langevin - WAZIERS,,50.387698,3.102198,0,10450,0
21292,01CI2,Lespagnol,,50.393349,3.112112,0,10652,0
21290,01CH2,Transformateur - DOUAI,,50.402280,3.120519,0,10651,0
21288,01CG2,Eglise - DOUAI,,50.404930,3.124156,0,10650,0
21286,01CF2,Arkéos - Orionis,,50.407413,3.127689,0,10649,0
21284,21AD2,Le Pont,,50.411466,3.134022,0,10648,0
21282,21AC2,Mairie - RACHES,,50.414616,3.136016,0,10647,0
21280,21AB2,Rue Neuve - RÂCHES,,50.416326,3.137224,0,10646,0
21278,21AA2,Rue de Baillon,,50.416359,3.142537,0,10645,0
22109,35AD4,Route de Flines,,50.412365,3.156382,0,10644,0
21268,10AH2,Montreuil,,50.418474,3.171105,0,10640,0
21266,10AG2,Péri,,50.421854,3.180700,0,10639,0
21665,10AJ2,Dulieu,,50.422973,3.182601,0,10835,0
21260,10AD2,Chanteclerc,,50.421241,3.188468,0,10636,0
21258,10AC2,Brossolette - FLINES LES RACHES,,50.420838,3.193230,0,10635,0
21256,10AB2,Eglise du Cattelet,,50.418817,3.199741,0,10634,0
10667,10AI,Grand Rue,,50.419038,3.207624,1,,0
21320,10AI2,Grand Rue,,50.419038,3.207624,0,10667,0
22099,16AP02,Chaufour,,50.328219,3.233170,0,11047,0
